Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Tabernaemontana catharinensisA. DC.	Jasmin-cata-vento, Cobrina	Tabernaemontana acuminata Müll.Arg., Tabernaemontana affinis Müll.Arg., Tabernaemontana australis Müll.Arg., Tabernaemontana hilariana Müll.Arg., Tabernaemontana hybrida Hand.-Mazz., Tabernaemontana salicifolia Hand.-Mazz.	Apocynaceae	Pampa	Florestal, Savânica	Floresta Estacional, Vegetaçao Savanóide	BA, CE, ES, MA, MG, MS, MT, PE, PR, RJ, RS, SC, SE, SP		Colher os frutos diretamente da árvore quando iniciar a abertura espontânea. Deixar secar a sombra pra completar a abertura do fruto		"




																
								[Saiba mais]
								
								



"		6800		Indireta em sementeira		NÃO (Pioneira típica)	Recobrimento	Rápido (entre 30 e 100 cm/ano)		Arvoreta (≤  3 metros)			Oleaginoso	SIM	abelhas e pequenos insetos	Zoocoria (fauna)
Tabernaemontana laetaMart.	Jasmim-de-leite	Tabernaemontana laeta var.minor Mull.Arg., Tabernaemontana laeta var.pubiflora Mull.Arg, Tabernaemontana spixiana Mart. Ex Müll.Arg., Tabernaemontana breviflora Müll.Arg., Tabernaemontana laeta var. densa Müll.Arg.	Apocynaceae	Mata Atlântica	Florestal	Floresta Estacional Semidecidual, Floresta Ombrófila Densa	AL, BA, DF, ES, MG, PB, RJ, SC, SP	Mata Atlântica - mai - jun	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, o que pode ser facilmente observado pela exposição do arilo vermelho-vivo das sementes. Em seguida, deixá-los ao sol para completar a abertura; após a retirada das sementes, deixá-las secar a sombra. Não há necessidade de retirar o arilo mucilaginoso que envolve as sementes.	> 80% (ótima)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	13500		Direta em recipientes individuais		INDIFERENTE (Tolerante no início do ciclo)	Recobrimento			Arbusto	Mata Atlântica - out - nov	Mata Atlântica - nov - mai	Madeireiro, Oleaginoso	NÃO	Mariposas	Zoocoria (Fauna)
Tachigali aureaTul.	Pau-bosta, Fede-fede, Borão	Sclerolobium aureum (Tul.) Benth., Sclerolobium aureum var. velutinum Benth.	Fabaceae	Cerrado, Pantanal	Campestre, Florestal	Campo não Inundável, Cerradão, Mata Ciliar, Mata Semidecídua, Mata de Galeria	BA, GO, MG, MT, SP	Cerrado - jul-ago ; Pantanal -  jul-ago	"Colher os frutos (vagens) diretamente da árvore quando adquirirem coloração palha e iniciarem a queda espontânea. Estes já podem ser considerados ""sementes"" para efeito de semeadura, porém a retirada da semente verdadeira, que é uma operação trabalhosa, permite escarificar química ou mecanicamente as sementes e assim melhorar significativamente a taxa de germinação."	20 a 49% (regular)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	11200	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - out-jan ; Pantanal -  out-jan	Cerrado - fev-ago ; Pantanal -  fev-ago		SIM	Abelhas	Anemocoria (vento)
Tachigali glaucaTul.	Taxi-preto, Pau-de-formiga, Taxi-preto-da-folha-grande	Tachigali glauca Tul., Sclerolobium myrmecophilum Ducke	Fabaceae	Amazônia	Florestal	Terra Firme	AC, AM, AP, MA, MT, PA, RO, RR	ago-set	"Colher os frutos (vagens) diretamente da árvore quando adquirirem coloração palha e iniciarem a queda espontânea. Estes já podem ser considerados ""sementes"" para efeito de semeadura, porém a retirada da semente verdadeira, que é uma operação trabalhosa, permite escarificar química ou mecanicamente as sementes e assim melhorar significativamente a taxa de germinação."		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"			Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	NÃO (Pioneira típica)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	mai-set	mai-set	Celulose, Madeireiro, Tanífero	NÃO	Abelhas, mariposas	Anemocoria (vento)
Tachigali rugosa(Mart. ex Benth.) Zarucchi & Pipoly	Angá	Sclerolobium rugosum Mart.	Fabaceae	Cerrado	Florestal	Mata de Galeria	BA, DF, GO, MG	Cerrado - abr-jul	"Colher os frutos (vagens) diretamente da árvore quando adquirirem coloração palha e iniciarem a queda espontânea. Estes já podem ser considerados ""sementes"" para efeito de semeadura, porém a retirada da semente verdadeira, que é uma operação trabalhosa, permite escarificar química ou mecanicamente as sementes e assim melhorar significativamente a taxa de germinação."	20 a 49% (regular)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	3800	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	NÃO (Pioneira típica)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - set-jan	Cerrado - abr-jul		SIM	Abelhas	Anemocoria (vento)
Tachigali subvelutina(Benth.) Oliveira-Filho	Carvoeiro	Sclerolobium paniculatum var. subvelutinum Benth.	Fabaceae	Cerrado	Savânica	Cerrado Rupestre, Cerrado Típico	BA, DF, GO, MA, MG, MS, MT, PI, TO	Cerrado - set-out	"Colher os frutos (vagens) diretamente da árvore quando adquirirem coloração palha e iniciarem a queda espontânea. Estes já podem ser considerados ""sementes"" para efeito de semeadura, porém a retirada da semente verdadeira, que é uma operação trabalhosa, permite escarificar química ou mecanicamente as sementes e assim melhorar significativamente a taxa de germinação."	20 a 49% (regular)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	11500	Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - ago-nov	Cerrado - set-out		SIM	Abelhas	Anemocoria (vento)
Tachigali vulgarisL.G.Silva & H.C.Lima	Taxi-Branco, Carvoeiro	Sclerolobium paniculatum Vogel, Sclerolobium paniculatum Vogel var. paniculatum	Fabaceae	Amazônia	Florestal, Savânica	Savana, Terra Firme	AM, BA, CE, DF, GO, MA, MG, MT, PA, PI, SP, TO	jul-ago	"Colher os frutos (vagens) diretamente da árvore quando adquirirem coloração palha e iniciarem a queda espontânea. Estes já podem ser considerados ""sementes"" para efeito de semeadura, porém a retirada da semente verdadeira, que é uma operação trabalhosa, permite escarificar química ou mecanicamente as sementes e assim melhorar significativamente a taxa de germinação. As sementes apresentam dormência."	20 a 49% (regular)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Muito Rápido ( > 100 cm/ano)	40400	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	out-nov	jul-ago	Madeireiro, Melífero, Ornamental	NÃO	Abelhas, mariposas	Anemocoria (vento)
Talisia esculenta(A.St.-Hil.) Radlk.	Pitomba, Pitombeira, Olho-de-boi, Pitomba-de-macaco, Pitomba-da-mata	Sapindus esculentus Cambess.	Sapindaceae	Amazônia, Cerrado	Campestre, Florestal, Savânica	Campos Naturais, Cerradão, Mata Ciliar, Mata Seca, Mata de Galeria, Mata de Várzea, Savana, Terra Firme	AM, BA, CE, GO, MA, MG, MT, PA, PE, PI, RJ	Cerrado - jan-mar; Amazônia - jan-mar	Colher os frutos diretamente da árvore, quando iniciarem a queda espontânea. Em seguida, devem ser despolpados, manualmente, e lavados em água corrente, dentro de uma peneira. Após a separação das sementes, estas devem secar à sombra. Em seguida colocar as sementes para germinar.	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	140	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - ago-out; Amazônia - ago-out	Cerrado - jan-mar; Amazônia - jan-mar	Alimentício, Forrageiro, Madeireiro	SIM	Abelhas	Zoocoria (fauna)
Tapirira guianensisAubl.	Tapirira, Cupiúva, Fruto De Pombo, Pau Pombo, Tapiriri, Cupiúba, Pau-pomba, Saboeiro E Tatapiririca, Pau-pombo-vermelho, Fruta-de-pombo, Mangueirinha, Peito-de-pomba, Pombeiro, Tapirirá, Tapiririca, Tatapirica, Tatapiririca, Cupiúba, Camboatá, Cupiúva, Cupiúva-vermelha, Cedro-í, Copiúva, Pau-pombo, Peito-de-pomba, Peito-de-pombo, Pombeiro, Pau-de-pomba	Tapirira guianensis var. cuneata Engl., Tapirira guianensis var. elliptica Engl., Tapirira myriantha Triana & Planch.	Anacardiaceae	Amazônia, Cerrado, Mata Atlântica, Pantanal	Campestre, Florestal, Savânica	Campo Inundável, Cerrado Típico, Cerradão, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Mata Ciliar, Mata Ripária, Mata Seca, Mata de Galeria, Mata de Várzea, Restinga, Restinga Arbórea/Arbustiva, Terra Firme	AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RN, RO, RR, SC, SE, SP, TO	Cerrado - dez-mar    ; Mata Atlântica - Jan - mai (MG);Jan - Mai (PR); Jan - Mar(SP); Dez - Jan(SC); Mar - Jul (SE); Abri - Jun (PE) ; Pantanal -  jan-mar; Amazônia - jan-mar	Os frutos dessa espécie devem ser colhidos diretamente da árvore, quando iniciarem a queda espontânea. Em seguida, devem ser despolpados, manualmente, e lavados em água corrente, dentro de uma peneira. Após a separação das sementes, estas devem secar à sombra. Quando a semeadura é feita no próprio local, não há necessidade de se remover a polpa, semeando-se os próprios frutos, como se fossem sementes.	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	9950 a 22700	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - jul-dez ; Mata Atlântica - Jul (MG, SP) - Dez (MG,SP);Set - Dez(BA); Out -  Nov (SC); Out - Jan (PA); Dez (PR); Dez - Fev (PE).  ; Pantanal -  jul-dez; Amazônia - ago-dez	Cerrado - jan-mar ; Mata Atlântica - out   - jan ; Pantanal -  jan-mar; Amazônia - jan-mar	Artesanal, Celulose, Forrageiro, Madeireiro, Medicinal, Melífero, Ornamental, Tanífero	NÃO	Abelhas, sirfideos	Zoocoria (Fauna)
Tapirira obtusa(Benth.) J. D. Mitch.	Fruto De Pombo, Pau De Pombo, Peito De Pomba	Mauria obtusa Benth., Tapirira marchandii Engl., Tapirira peckoltiana Engl., Tapirira pilosa Sprague	Anacardiaceae	Cerrado	Florestal	Mata Ciliar, Mata de Galeria	AC, AM, BA, DF, ES, GO, MA, MG, MS, MT, PA, RJ, SP, TO	Cerrado - dez-jan	Os frutos dessa espécie devem ser colhidos diretamente da árvore, quando iniciarem a queda espontânea. Em seguida, devem ser despolpados, manualmente, e lavados em água corrente, dentro de uma peneira. Após a separação das sementes, estas devem secar à sombra. Quando a semeadura é feita no próprio local, não há necessidade de se remover a polpa, semeando-se os próprios frutos, como se fossem sementes.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	51000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - mar-out	Cerrado - jan-dez		NÃO	Abelhas	Zoocoria (Fauna)
Tapura amazonicaPoepp. & Endl.	Manguito		Dichapetalaceae	Cerrado	Florestal	Cerradão, Mata Seca, Mata de Galeria	AC, AM, DF, GO, MA, MG, PA, RO	Cerrado - set-nov	Coletar os frutos e despolpá-los através da friccção em peneira com o auxílio de água corrente.	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"		1200	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade		P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - nov-jan	Cerrado - mai-nov	Alimentício, Melífero, Ornamental	NÃO	Abelhas	Zoocoria (fauna)
Terminalia amazonia(J.F.Gmel.) Exell	Cuiarana-amarela, Tanimbuca	Chuncoa amazonia J.F.Gmel.	Combretaceae	Amazônia	Florestal	Mata Ciliar, Mata de Várzea, Terra Firme	AC, AM, AP, MA, PA	jan-abr	Colher os frutos diretamente na árvore quando estiverem secos. Remover os aparatos de voo antes de semear para diminuir o volume no recipiente.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)		Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	set-dez	jan-abr	Madeireiro	NÃO	Abelhas	Anemocoria (vento)
Terminalia argenteaMart.	Capitão-do-campo, Capitão-do-cerrado, Capitão, Pau-garrote, Macruá, Capitão, Cuiariana, Cahaporra-do-gentio		Combretaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Típico, Cerradão, Mata Seca, Mata Semidecídua	AP, BA, DF, GO, MA, MG, MS, MT, PA, PI, PR, SP, TO	Cerrado - jul-set   ; Pantanal -  ago-set	Os frutos devem ser colhidos diretamente da árvore, quando iniciarem a queda espontânea ou no chão após a queda. Recomenda-se colocar o fruto para germinar diretamente como se fossem sementes.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	2800	Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - jul-set ; Pantanal -  ago-set	Cerrado - jul-nov ; Pantanal -  abr-set	Artesanal, Madeireiro, Medicinal, Melífero, Ornamental, Tanífero	SIM	Abelhas, moscas	Anemocoria (vento)
Terminalia australisCambess.	Sarandi-amarelo, Amarilho, Sarandi	Myrobalanus australis (Cambess.) Kuntze	Combretaceae	Pampa	Florestal, Savânica	Floresta Estacional, Mata Ciliar, Restinga, Vegetaçao Savanóide	MG, PR, RS, SC		coletar os frutos diretamente da árvore quando adquirirem cor amarronzada		"




																
								[Saiba mais]
								
								



"	lento (até 30 cm/ano)	50000	recalcitrante	Indireta em sementeira		INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Lento (até 30 cm/ano)		Arvoreta (≤  3 metros)	out-nov	dez-mar	Artesanal, Latex, Madeireiro, Resina, Tanífero	SIM	abelhas	Anemocoria (vento)
Terminalia fagifoliaMart & Zucc.	Mussambé, Orelha-de-cachorro		Combretaceae	Cerrado	Florestal, Savânica	Cerrado Típico, Cerradão, Mata Seca, Mata de Galeria	BA, CE, DF, GO, MA, MG, MS, MT, PI, SP	Cerrado - nov-fev	Os frutos devem ser colhidos diretamente da árvore, quando iniciarem a queda espontânea ou no chão após a queda. Recomenda-se colocar o fruto para germinar diretamente como se fossem sementes.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	22000	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - jul-set	Cerrado - jan-mai	Artesanal, Madeireiro, Medicinal, Melífero	SIM	Abelhas, moscas	Anemocoria (vento)
Theobroma cacaoL.	Cacau		Malvaceae	Amazônia, Mata Atlântica	Florestal	Floresta Ombrófila Densa, Mata Ciliar, Mata de Várzea, Terra Firme	AC, AM, AP, BA, MA, PA, RO	abr-set	Colher os frutos diretamente na árvore quando estiverem maduros. Depois, despolpar manualmente as sementes em água corrente.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Muito Rápido ( > 100 cm/ano)	115	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	dez-abr	abr-set	Alimentício, Aromático, Madeireiro	NÃO	Dípteros	Zoocoria (Fauna)
Theobroma grandiflorum(Willd. ex Spreng.) K.Schum.	Cupuaçu		Malvaceae	Amazônia	Florestal	Mata de Várzea, Terra Firme	AC, AM, PA	fev-abr	Colher os frutos diretamente na árvore quando estiverem maduros. Depois, despolpar manualmente as sementes em água corrente.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Muito Rápido ( > 100 cm/ano)	40	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	set-nov	fev-abr	Alimentício, Madeireiro	NÃO	Abelhas	Zoocoria (Fauna)
Tibouchina gracilis(Bonpl.) Cogn.	Quaresma, Quaresmeira, Flor-de-quaresma	Chaetogastra fraterna DC., Chaetogastra gracili, Chaetogastra hirsuta, Lasiandra gracilis, Lasiandra Pleroma gracile, Pleroma pulchellum, Pleroma pulchrum, Rhexia gracilis	Melastomataceae	Cerrado	Campestre, Savânica	Campo Limpo, Cerrado Típico	DF, GO, MG, MS, MT, PR, RJ, RS, SC, SP, TO	Cerrado - fev-jul	Colheita manual dos frutos secos e abertos, secagem a sombra para abertura completa dos frutos e liberação das sementes e uso de peneiras para separar as sementes.	> 80% (ótima)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Subarbusto	Cerrado - out-jul	Cerrado - fev-jul		NÃO	Abelhas	Anemocoria (vento)
Tococa guianensisAubl.	Tococa-da-guiana	Tococa cachimbensis Brade, Tococa cardiophylla Naudin, Tococa discolor Pilg., Tococa formicaria Mart., Tococa formicaria var. didymophysca DC., Tococa juruensis Pilg., Tococa loretensis Ule	Melastomataceae	Cerrado	Florestal, Savânica	Cerrado Rupestre, Mata Ciliar, Mata de Galeria, Vereda	AC, AM, AP, BA, DF, GO, MA, MG, MS, MT, PA, PE, PI, RO, RR, SP	Cerrado - set-nov	Colher os frutos diretamente na arvoreta quando maduros com coloração roxa. Remover a polpa dos frutos com peneira fina em água corrente para separar as pequenas sementes. Após, as sementes estarão prontas para semeadura.		"


T4 Floresta (MDF = MAL DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"		3000000	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		P4=> MDF: espécies de zonas ripárias (Ex.: Protium heptaphyllum, Mauritia flexuosa)	Arvoreta (≤  3 metros)	Cerrado - set-out	Cerrado - set-nov		NÃO	Abelhas	Zoocoria (fauna)
Tocoyena formosa(Cham. & Schltdl.) K.Schum.	Jenipapo-de-cavalo, Olho-de-boi, Marmelada-preta, Marmelo-preto	Gardenia formosa Cham. & Schltdl., Gardenia maritima Vahl ex DC., Tocoyena formosa var. maxima Chodat & Hassl., Tocoyena formosa var. microdon (Mart.) Gottsb. & Ehrend., Tocoyena formosa var. petropolitana Glaz., Tocoyena formosa var. pseudobrasiliensis Gottsb. & Ehrend., Tocoyena hirsuta Moric. ex DC., Tocoyena microdon Mart., Tocoyena mollis Krause, Tocoyena stipulacea K.Schum. ex Glaz., Tocoyena stipulosa K.Schum., Tocoyena surinamensis Bremek., Tocoyena velutina Mart., Ucriana hirsuta (Moric. ex DC.) D.Dietr., Tocoyena formosa (Cham. & Schltdl.) K.Schum. subsp. formosa	Rubiaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Rupestre, Cerrado Típico, Cerradão, Mata Ripária, Mata Semidecídua, Mata de Galeria, Vereda	AM, AP, BA, CE, MA, MG, PA, PB, PE, PI, PR, RN, SP, TO	Cerrado - mar-abr ; Pantanal -  mar-jun	Os frutos devem ser colhidos diretamente da árvore quando apresentarem coloração amarelada. Em seguida deixá-los amontoados em saco plástico até o apodrecimento parcial de sua polpa para facilitar a separação das sementes através da lavagem em água corrente.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	25000	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - jul-nov ; Pantanal -  Flor na época chuvosa (nov a mar) (Pott & Pott, 1994)	Cerrado - jan-abr ; Pantanal -  mar-jun	Forrageiro	NÃO	Mariposas	Zoocoria (Fauna)
Trachypogon spicatus(L.f.) Kuntze		Stipa spicata L.f.	Poaceae	Cerrado	Campestre	Campo Limpo, Campo Rupestre	AM, AP, BA, CE, GO, MA, MG, MS, MT, PA, PB, PE, RN, RO, RR, SP, TO	Junho	Colher quando as inflorescências estiverem secas. O uso de ensiladeira pode ajudar na colheita.	< 10% (ruim)	"




																
								[Saiba mais]
								
								



"		416667					Recobrimento			Erva		Junho		NÃO	Vento	Autocoria
Trattinnickia rhoifoliaWilld.	Breu-manga, Amesclão, Breu-sucuruba	Trattinnickia rhoifolia subsp. sprucei Engl., Trattinnickia rhoifolia subsp. willdenowii Engl., Trattinnickia rhoifolia Willd. var. rhoifolia	Burseraceae	Amazônia	Florestal	Terra Firme	AC, AM, AP, PA, RO, RR	set-jul	Colher os frutos diretamente na árvore quando apresentarem coloração roxa ou no chão quando iniciarem a queda espontânea. Em seguida, deixá-los amontoados em saco plástico durante alguns dias até a decomposição parcial da polpa para facilitar a remoção da semente através da lavagem em água corrente.	10 a 19% (baixa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	760	Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	SIM (Tolerante em todo o ciclo de vida)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	ago-jan	set-jul	Madeireiro	NÃO	Abelhas	Zoocoria (Fauna)
Trema micrantha(L.) Blume	Piriquiteira, Grandiúva, Pau-pólvora, Crindiúva, Orindeúva, Coatidiba, Orindiba, Gurindiba, Candiúba, Taleira, Motamba, Seriúva, Cambriúva, Quindiúva, Crindiúva, Amora-brava, Chico-magro.	Celtis albicans Willd. ex Steud., Celtis canescens Kunth, Celtis chichilea Ruiz & Pav. ex Planch., Celtis curiandiuba M.Gómez ex Planch., Celtis lima Lam., Celtis macrophylla Kunth, Celtis micrantha (L.) Sw., Celtis microcarpa Salzm. ex Planch., Celtis microcarpa Salzm. ex Planchon, Celtis mollis Humb. & Bonpl. ex Willd., Celtis rufescens Banks ex Planch., Celtis rufescens Banks ex Planchon, Celtis schiedeana Schltdl., Rhamnus micrantha L., Sponia canescens (Kunth) Decne., Sponia chichilea Planch., Sponia crassifolia Liebm., Sponia grisea Liebm., Sponia lima Decne., Sponia macrophylla (Kunth) Decne., Sponia micrantha (L.) Decne. ex Planch., Sponia micrantha (L.) Decne., Sponia mollis Decne., Sponia peruviana Klotzsch, Sponia riparia Decne., Sponia schiedeana (Schltdl.) Planch., Trema canescens (Kunth) Blume, Trema chichilea (Planch.) Blume, Trema lima Blume, Trema macrophylla (Kunth) Blume, Trema melinona Blume, Trema mollis (Humb. & Bonpl. ex Willd.) Blume, Trema riparia Blume, Trema rufescens Blume, Trema schiedeana (Schltdl.) Blume, Trema strigillosa Lundell	Cannabaceae	Cerrado, Mata Atlântica, Pampa, Pantanal	Florestal, Savânica	Cerradão, Floresta Estacional, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Mata Ciliar, Mata Ripária, Mata Seca, Mata Semidecídua, Mata de Galeria, Restinga, Vereda	AC, AL, AM, AP, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO	Cerrado - jan-mai   ; Mata Atlântica - jan - mai	Os frutos devem ser coletados quando atingem a coloração verde-vermelha a vermelha, em seguida devem ficar dois dias na água para facilitar a extração de sementes. O beneficiamento é feito através de maceração dos frutos em peneira. As sementes devem ser colocadas em peneiras e postas em ambiente ventilado para a secagem.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	135000 a 330000	Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Muito Rápido ( > 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - ago-jan ; Mata Atlântica - Ago a Set -dez (PA); Ago a Jan -dez (GO, DF); Ago a Fev - dez (SP); Set a Dez - dez (RG, MG); Out a Jan - dez(PR); Nov a Mai - dez (RJ); Mar -dez (ES). ; Pantanal -  ago-abr; Pampa - set-dez	Cerrado - jan-mar ; Mata Atlântica - jan - jan (mar) ; Pantanal -  ago-abr; Pampa - jan-mar	Artesanal, Forrageiro, Fibra, Madeireiro, Medicinal, Melífero, Resina	NÃO	Abelhas	Zoocoria (Fauna)
